,close
2012/3/19,3829.696
2012/3/20,3746.284
2012/3/21,3760.047
2012/3/22,3742.388
2012/3/23,3670.129
2012/3/26,3666.279
2012/3/27,3652.876
2012/3/28,3490.007
2012/3/29,3425.702
2012/3/30,3416.856
2012/4/5,3531.549
2012/4/6,3554.027
2012/4/9,3512.914
2012/4/10,3554.038
2012/4/11,3566.476
2012/4/12,3640.407
2012/4/13,3675.028
2012/4/16,3685.481
2012/4/17,3631.556
2012/4/18,3714.02
2012/4/19,3704.705
2012/4/20,3736.365
2012/4/23,3691.574
2012/4/24,3666.395
2012/4/25,3718.911
2012/4/26,3700.028
2012/4/27,3664.638
2012/5/2,3718.259
2012/5/3,3733.816
2012/5/4,3758.004
2012/5/7,3784.556
2012/5/8,3783.472
2012/5/9,3717.47
2012/5/10,3731.131
2012/5/11,3715.385
2012/5/14,3710.097
2012/5/15,3705.883
2012/5/16,3660.312
2012/5/17,3714.186
2012/5/18,3655.858
2012/5/21,3653.546
2012/5/22,3711.055
2012/5/23,3708.919
2012/5/24,3678.093
2012/5/25,3635.516
2012/5/28,3687.455
2012/5/29,3745.678
2012/5/30,3752.219
2012/5/31,3753.593
2012/6/1,3744.437
2012/6/4,3621.808
2012/6/5,3617.614
2012/6/6,3600.163
2012/6/7,3581.137
2012/6/8,3564.158
2012/6/11,3630.314
2012/6/12,3608.391
2012/6/13,3674.875
2012/6/14,3652.705
2012/6/15,3648.994
2012/6/18,3684.727
2012/6/19,3657.958
2012/6/20,3636.09
2012/6/21,3590.837
2012/6/25,3493.116
2012/6/26,3489.972
2012/6/27,3476.403
2012/6/28,3427.819
2012/6/29,3470.965
2012/7/2,3509.503
2012/7/3,3515.778
2012/7/4,3497.748
2012/7/5,3418.202
2012/7/6,3486.546
2012/7/9,3398.805
2012/7/10,3365.665
2012/7/11,3404.104
2012/7/12,3450.302
2012/7/13,3435.084
2012/7/16,3311.089
2012/7/17,3334.286
2012/7/18,3352.848
2012/7/19,3392.656
2012/7/20,3369.913
2012/7/23,3337.856
2012/7/24,3361.09
2012/7/25,3332.085
2012/7/26,3302.336
2012/7/27,3283.592
2012/7/30,3217.452
2012/7/31,3159.192
2012/8/1,3216.184
2012/8/2,3195.863
2012/8/3,3259.856
2012/8/6,3337.267
2012/8/7,3368.252
2012/8/8,3356.485
2012/8/9,3405.058
2012/8/10,3395.849
2012/8/13,3318.1
2012/8/14,3349.585
2012/8/15,3310.839
2012/8/16,3286.828
2012/8/17,3286.778
2012/8/20,3289.439
2012/8/21,3335.753
2012/8/22,3306.111
2012/8/23,3327.99
2012/8/24,3265.749
2012/8/27,3184.331
2012/8/28,3200.993
2012/8/29,3179.54
2012/8/30,3129.495
2012/8/31,3139.5
2012/9/3,3200.306
2012/9/4,3164.826
2012/9/5,3181.8
2012/9/6,3217.936
2012/9/7,3334.66
2012/9/10,3363.605
2012/9/11,3350.088
2012/9/12,3376.122
2012/9/13,3329.299
2012/9/14,3338.038
2012/9/17,3237.704
2012/9/18,3224.259
2012/9/19,3255.866
2012/9/20,3161.763
2012/9/21,3143.71
2012/9/24,3167.161
2012/9/25,3144.408
2012/9/26,3071.989
2012/9/27,3141.082
2012/9/28,3199.752
2012/10/8,3183.365
2012/10/9,3265.617
2012/10/10,3296.923
2012/10/11,3248.045
2012/10/12,3240.399
2012/10/15,3223.189
2012/10/16,3233.229
2012/10/17,3240.778
2012/10/18,3294.835
2012/10/19,3285.445
2012/10/22,3298.488
2012/10/23,3259.067
2012/10/24,3257.921
2012/10/25,3226.172
2012/10/26,3163.295
2012/10/29,3158.943
2012/10/30,3160.687
2012/10/31,3168.097
2012/11/1,3228.19
2012/11/2,3249.552
2012/11/5,3235.352
2012/11/6,3213.26
2012/11/7,3209.141
2012/11/8,3129.568
2012/11/9,3116.978
2012/11/12,3136.308
2012/11/13,3072.121
2012/11/14,3081.254
2012/11/15,3026.844
2012/11/16,3009.153
2012/11/19,3016.159
2012/11/20,3004.183
2012/11/21,3035.282
2012/11/22,2995.093
2012/11/23,3005.459
2012/11/26,2970.323
2012/11/27,2864.169
2012/11/28,2800.537
2012/11/29,2774.176
2012/11/30,2816.624
2012/12/3,2749.134
2012/12/4,2783.412
2012/12/5,2886.186
2012/12/6,2884.348
2012/12/7,2950.193
2012/12/10,3002.231
2012/12/11,2982.027
2012/12/12,2982.885
2012/12/13,2943.276
2012/12/14,3066.231
2012/12/17,3091.875
2012/12/18,3086.584
2012/12/19,3099.092
2012/12/20,3108.86
2012/12/21,3101.074
2012/12/24,3117.698
2012/12/25,3189.088
2012/12/26,3228.675
2012/12/27,3199.481
2012/12/28,3235.195
2012/12/31,3275.86
2013/1/4,3258.251
2013/1/7,3288.369
2013/1/8,3327.04
2013/1/9,3334.987
2013/1/10,3356.35
2013/1/11,3271.179
2013/1/14,3384.745
2013/1/15,3450.682
2013/1/16,3450.56
2013/1/17,3408.022
2013/1/18,3464.645
2013/1/21,3491.122
2013/1/22,3435.434
2013/1/23,3441.745
2013/1/24,3369.732
2013/1/25,3364.061
2013/1/28,3449.794
2013/1/29,3482.519
2013/1/30,3500.578
2013/1/31,3479.638
2013/2/1,3507.709
2013/2/4,3484.362
2013/2/5,3520.646
2013/2/6,3544.385
2013/2/7,3557.667
2013/2/8,3608.589
2013/2/18,3627.776
2013/2/19,3561.357
2013/2/20,3635.375
2013/2/21,3560.317
2013/2/22,3548.358
2013/2/25,3587.587
2013/2/26,3533.204
2013/2/27,3535.896
2013/2/28,3608.199
2013/3/1,3648.422
2013/3/4,3518.717
2013/3/5,3597.922
2013/3/6,3653.934
2013/3/7,3609.64
2013/3/8,3570.38
2013/3/11,3571.105
2013/3/12,3481.175
2013/3/13,3449.35
2013/3/14,3464.854
2013/3/15,3471.214
2013/3/18,3427.12
2013/3/19,3438.072
2013/3/20,3527.772
2013/3/21,3565.02
2013/3/22,3579.92
2013/3/25,3568.523
2013/3/26,3543.812
2013/3/27,3552.257
2013/3/28,3448.977
2013/3/29,3447.285
2013/4/1,3470.96
2013/4/2,3428.5
2013/4/3,3397.232
2013/4/8,3411.13
2013/4/9,3444.371
2013/4/10,3437.267
2013/4/11,3423.217
2013/4/12,3394.517
2013/4/15,3346.851
2013/4/16,3383.081
2013/4/17,3412.416
2013/4/18,3423.012
2013/4/19,3495.242
2013/4/22,3511.624
2013/4/23,3416.449
2013/4/24,3484.568
2013/4/25,3431.401
2013/4/26,3367.766
2013/5/2,3383.398
2013/5/3,3448.64
2013/5/6,3514.457
2013/5/7,3521.477
2013/5/8,3553.848
2013/5/9,3555.769
2013/5/10,3577.327
2013/5/13,3590.758
2013/5/14,3549.303
2013/5/15,3597.106
2013/5/16,3635.755
2013/5/17,3691.399
2013/5/20,3737.748
2013/5/21,3787.059
2013/5/22,3755.874
2013/5/23,3724.229
2013/5/24,3782.071
2013/5/27,3820.427
2013/5/28,3827.782
2013/5/29,3856.319
2013/5/30,3865.134
2013/5/31,3841.218
2013/6/3,3814.51
2013/6/4,3739.724
2013/6/5,3755.148
2013/6/6,3688.736
2013/6/7,3616.21
2013/6/13,3515.05
2013/6/14,3584.978
2013/6/17,3593.371
2013/6/18,3605.758
2013/6/19,3583.298
2013/6/20,3465.004
2013/6/21,3446.483
2013/6/24,3232.962
2013/6/25,3219.134
2013/6/26,3285.818
2013/6/27,3233.222
2013/6/28,3235.978
2013/7/1,3304.591
2013/7/2,3359.053
2013/7/3,3364.184
2013/7/4,3390.488
2013/7/5,3371.529
2013/7/8,3240.477
2013/7/9,3259.911
2013/7/10,3361.395
2013/7/11,3455.884
2013/7/12,3425.135
2013/7/15,3493.441
2013/7/16,3536.313
2013/7/17,3485.074
2013/7/18,3481.201
2013/7/19,3394.306
2013/7/22,3461.281
2013/7/23,3544.966
2013/7/24,3566.282
2013/7/25,3498.242
2013/7/26,3494.159
2013/7/29,3426.593
2013/7/30,3411.219
2013/7/31,3430.743
2013/8/1,3521.152
2013/8/2,3533.609
2013/8/5,3592.538
2013/8/6,3631.124
2013/8/7,3596.318
2013/8/8,3605.85
2013/8/9,3618.744
2013/8/12,3676.195
2013/8/13,3695.552
2013/8/14,3681.082
2013/8/15,3631.321
2013/8/16,3554.348
