,open,close,high,low,volume,total_turnover,SZZSopen,SZZSclose,SZZShigh,SZZSlow,SZZSvolume,SZZStotal_turnover,HS300open,HS300close,HS300high,HS300low,HS300volume,HS300total_turnover,SZCZopen,SZCZclose,SZCZhigh,SZCZlow,SZCZvolume,SZCZtotal_turnover
2012/1/9,3089.448,3212.904,3213.055,3056.186,2561640800,21836478130,2164.741,2225.89,2226.218,2148.453,7675983900,62132963469,2291.182,2368.57,2368.889,2271.717,5472734100,51478126954,8638.525,8946.085,8946.879,8532.665,781779975,9464139359
2012/1/10,3211.573,3345.391,3345.42,3202.968,3938751800,33770384198,2221.832,2285.744,2288.628,2218.275,10958541500,91045903375,2365.768,2447.349,2449.955,2361.281,8115498900,75249157103,8930.56,9281.245,9291.312,8909.25,1122908087,13514351238
2012/1/11,3342.551,3346.742,3367.402,3315.668,3390170800,29469377268,2282.913,2276.046,2290.644,2265.185,8444178100,74264707833,2444.757,2435.608,2453.146,2423.322,5870567400,57587219272,9278.053,9239.213,9312.056,9186.155,854651243,10414709235
2012/1/12,3330.897,3345.812,3388.389,3323.137,2906987700,25769058775,2268.739,2275.01,2295.224,2265.256,7156999400,63945881028,2426.82,2435.219,2464.378,2423.321,4712127500,47877407259,9191.544,9200.926,9344.736,9177.594,671228137,8157001052
2012/1/13,3343.527,3233.701,3349.681,3210.321,2810865600,25418153898,2277.08,2244.58,2281.532,2225.736,7147432200,64030025661,2438.405,2394.334,2445.787,2374.545,4551399700,47228338588,9216.96,9030.588,9258.307,8951.717,613782409,7784610996
2012/1/16,3201.011,3130.558,3217.373,3130.321,1877546600,16673443489,2230.433,2206.193,2241.259,2206.045,4585952200,42884791206,2376.953,2345.649,2394.498,2345.633,3052714500,34410385319,8951.177,8827.474,9024.417,8823.797,499638687,6558148084
2012/1/17,3128.514,3304.88,3305.004,3110.36,3014850400,26730971020,2206.531,2298.376,2298.376,2196.117,8780356000,77406846620,2347.568,2460.601,2462.429,2329.248,6420564800,64324131068,8835.878,9264.09,9305.422,8762.571,938288960,11748651198
2012/1/18,3310.036,3237.852,3342.365,3223.986,3082551700,28811474248,2298.834,2266.384,2311.579,2257.898,8994042200,80655237044,2464.92,2422.189,2485.498,2414.527,6389235800,67058838880,9326.435,9115.269,9399.016,9085.037,985091417,13354586929
2012/1/19,3230.875,3270.765,3288.202,3208.054,2297402600,21257562203,2266.076,2296.075,2305.707,2259.337,7249886100,63886737692,2423.857,2468.35,2480.206,2414.985,5561572600,56377653304,9119.88,9300.217,9363.051,9078.984,909145392,11785313807
2012/1/20,3276.481,3315.603,3323.124,3267.026,2206734900,20622243044,2300.5,2319.118,2322.891,2293.893,6992275300,62906415725,2476.73,2504.086,2510.34,2462.594,5452978300,57474475709,9348.448,9466.144,9503.372,9259.018,955616165,13072363666
2012/1/30,3326.61,3292.409,3337.064,3290.536,1875438500,17403931589,2324.493,2285.038,2324.493,2284.291,5841368700,51868459382,2508.877,2460.72,2508.877,2460.396,4351714800,44770885276,9482.208,9274.852,9482.208,9274.852,624344279,8526363530
2012/1/31,3284.899,3294.494,3297.191,3251.42,1829072100,16950571002,2285.954,2292.61,2296.384,2277.056,4873832500,43777519937,2462.338,2464.26,2472.839,2447.768,3070150100,32694132107,9278.088,9303.649,9324.805,9213.139,406447996,5710452448
2012/2/1,3287.222,3266.234,3318.367,3255.628,1823640000,17016879020,2288.066,2268.08,2305.863,2263.342,5355381100,48554972307,2458.233,2428.994,2481.664,2423.45,3501537400,37752320797,9277.792,9193.388,9403.366,9173.069,501157687,6863692476
2012/2/2,3271.593,3328.153,3328.249,3266.962,2178790300,20477693617,2273.85,2312.556,2312.556,2268.687,6347187200,57682360382,2437.47,2486.238,2486.238,2429.709,4206698500,44126383715,9222.241,9382.127,9382.127,9174.719,553275498,7576195191
2012/2/3,3324.399,3383.05,3390.33,3315.689,3216831300,29174360657,2306.656,2330.405,2336.267,2300.982,7894369700,70249339901,2478.336,2506.09,2514.645,2470.28,4994924000,51507545973,9349.284,9436.992,9472.023,9292.781,614190587,8313298983
2012/2/6,3387.219,3412.405,3420.002,3381.763,3124920300,28696539601,2334.248,2331.136,2341.575,2317.422,7573447700,67305626604,2511.172,2504.322,2520.758,2488.709,4507990500,47541523547,9451.174,9448.642,9526.786,9404.486,601658836,8587346636
2012/2/7,3397.769,3356.838,3397.769,3333.639,2681577800,24398878465,2319.421,2291.902,2319.708,2278.825,6732690600,58091080366,2489.032,2457.954,2489.032,2441.698,3967916400,40034277145,9393.757,9266.714,9393.757,9206.857,534429579,7031563887
2012/2/8,3351.043,3445.52,3445.52,3341.705,3352194800,30900931960,2291.812,2347.53,2350.965,2286.819,8711452800,80885696801,2456.422,2528.236,2534.162,2450.999,5618645600,61721305024,9259.636,9557.575,9605.203,9236.155,769884058,10832724726
2012/2/9,3441.786,3469.846,3501.398,3434.813,4389821200,38568200961,2344.224,2349.589,2363.613,2333.935,9803232500,89658695587,2525.589,2529.231,2546.025,2513.131,5929975100,63456204565,9548.22,9560.727,9630.347,9493.929,849195108,11144345473
2012/2/10,3463.967,3488.229,3506.339,3459.131,3978319200,33789986121,2342.011,2351.981,2368.979,2339.885,9650161900,82222468070,2521.676,2533.624,2560.027,2521.155,6157587700,60029482361,9539.704,9590.954,9699.3,9539.704,908652335,11324413513
2012/2/13,3458.81,3519.875,3535.519,3441.33,3823807500,34181454807,2332.055,2351.855,2365.339,2325.028,8626358500,77715389643,2504.41,2531.981,2553.446,2496.305,5191397300,54282622440,9463.947,9585.076,9670.777,9420.397,678934967,9082102630
2012/2/14,3516.609,3524.625,3529.488,3493.911,3590482500,32042248728,2348.877,2344.771,2352.469,2332.247,7313041300,66294933778,2528.967,2522.107,2533.264,2506.537,4043010100,43723682304,9574.874,9543.775,9597.078,9478.593,522686476,7195512668
2012/2/15,3518.794,3578.149,3580.284,3505.364,4362573000,38706703075,2340.455,2366.702,2374.282,2335.101,9886102100,87632869277,2515.829,2549.607,2562.071,2511.289,5809037000,60422394145,9523.649,9673.439,9725.222,9515.79,776998682,10970240690
